"","cycle","state","state_abb","party","vote_share","total_votes"
"1",1976,"Alabama","AL","dem",0.557272688844739,659170
"2",1976,"Alabama","AL","rep",0.426148708627468,504070.000000001
"3",1976,"Alabama","AL","other",0.0163182144819715,19302
"4",1976,"Alaska","AK","dem",0.356531309175069,44058
"5",1976,"Alaska","AK","rep",0.579045753961189,71555
"6",1976,"Alaska","AK","other",0.0549063718905271,6785
"7",1976,"Arizona","AZ","dem",0.397999781882515,295602
"8",1976,"Arizona","AZ","rep",0.563661357794805,418642
"9",1976,"Arizona","AZ","other",0.038309239429717,28453
"10",1976,"Arkansas","AR","dem",0.649617281296618,498604
"11",1976,"Arkansas","AR","rep",0.349043366100569,267903
"12",1976,"Arkansas","AR","other",0.0013393526028129,1028
"13",1976,"California","CA","dem",0.479548218361125,3742284
"14",1976,"California","CA","rep",0.497483139559469,3882244
"15",1976,"California","CA","other",0.0229686420794052,179242
"16",1976,"Colorado","CO","dem",0.426099459979287,460801
"17",1976,"Colorado","CO","rep",0.540277777777778,584278
"18",1976,"Colorado","CO","other",0.0336227622429353,36360.9999999999
"19",1976,"Connecticut","CT","dem",0.467337009640388,647895
"20",1976,"Connecticut","CT","rep",0.518814445073592,719261
"21",1976,"Connecticut","CT","other",0.0138485452860198,19199
"22",1976,"Delaware","DE","dem",0.519690887023536,122461
"23",1976,"Delaware","DE","rep",0.465876202035291,109780
"24",1976,"Delaware","DE","other",0.0144329109411735,3401.00000000001
"25",1976,"District of Columbia","DC","dem",0.816312266777232,137818
"26",1976,"District of Columbia","DC","rep",0.165095066042765,27873
"27",1976,"District of Columbia","DC","other",0.0168868092163715,2851
"28",1976,"Florida","FL","dem",0.519261062307836,1636000
"29",1976,"Florida","FL","rep",0.46642434483759,1469531
"30",1976,"Florida","FL","other",0.0142726964852438,44968.0000000002
"31",1976,"Georgia","GA","dem",0.669382948593174,979409
"32",1976,"Georgia","GA","rep",0.330617051406826,483743
"33",1976,"Georgia","GA","other",0,0
"34",1976,"Hawaii","HI","dem",0.50591999340888,147375
"35",1976,"Hawaii","HI","rep",0.480612836893797,140003
"36",1976,"Hawaii","HI","other",0.0134671696973234,3923
"37",1976,"Idaho","ID","dem",0.371185456337334,126549
"38",1976,"Idaho","ID","rep",0.59880269379231,204151
"39",1976,"Idaho","ID","other",0.0300118498703554,10232
"40",1976,"Illinois","IL","dem",0.481075902689142,2271295
"41",1976,"Illinois","IL","rep",0.50076843535294,2364269
"42",1976,"Illinois","IL","other",0.0172201109783317,81300.9999999999
"43",1976,"Indiana","IN","dem",0.457003857929473,1014714
"44",1976,"Indiana","IN","rep",0.533227464710709,1183958
"45",1976,"Indiana","IN","other",0.0097686773598179,21690
"46",1976,"Iowa","IA","dem",0.484584965406944,619931
"47",1976,"Iowa","IA","rep",0.494694376547229,632864
"48",1976,"Iowa","IA","other",0.0207206580458265,26508
"49",1976,"Kansas","KS","dem",0.449363936753859,430421
"50",1976,"Kansas","KS","rep",0.524878242304339,502752
"51",1976,"Kansas","KS","other",0.0257578209418016,24672
"52",1976,"Kentucky","KY","dem",0.527542492687265,615717
"53",1976,"Kentucky","KY","rep",0.455687482757025,531852
"54",1976,"Kentucky","KY","other",0.0167700245557096,19573
"55",1976,"Louisiana","LA","dem",0.51774996222746,661364.999999999
"56",1976,"Louisiana","LA","rep",0.459882431502533,587446
"57",1976,"Louisiana","LA","other",0.0223676062700067,28572
"58",1976,"Maine","ME","dem",0.480940766261947,232279
"59",1976,"Maine","ME","rep",0.489307780225605,236320
"60",1976,"Maine","ME","other",0.029751453512448,14369
"61",1976,"Maine CD-1","ME-1","dem",0.479205034060553,123598
"62",1976,"Maine CD-1","ME-1","rep",0.492468682513773,127019
"63",1976,"Maine CD-1","ME-1","other",0.0283262834256736,7306.00000000001
"64",1976,"Maine CD-2","ME-2","dem",0.482930080650537,108681
"65",1976,"Maine CD-2","ME-2","rep",0.485685085205181,109301
"66",1976,"Maine CD-2","ME-2","other",0.0313848341442823,7063.00000000001
"67",1976,"Maryland","MD","dem",0.530354199234364,759612
"68",1976,"Maryland","MD","rep",0.469645800765636,672661
"69",1976,"Maryland","MD","other",0,0
"70",1976,"Massachusetts","MA","dem",0.561115782251081,1429475
"71",1976,"Massachusetts","MA","rep",0.404417092760989,1030276
"72",1976,"Massachusetts","MA","other",0.0344671249879296,87807
"73",1976,"Michigan","MI","dem",0.464650741183977,1696714
"74",1976,"Michigan","MI","rep",0.518607510700818,1893742
"75",1976,"Michigan","MI","other",0.0167417481152046,61134
"76",1976,"Minnesota","MN","dem",0.548963014588721,1070440
