"","cycle","state","Margin_vote_DvR","Margin_share_DvR","total_vote","Biden_DEM_vote","Biden_DEM_share","Trump_REP_vote","Trump_REP_share","Jorgensen_LIB_vote","Jorgensen_LIB_share","Hawkins_GRN_vote","Hawkins_GRN_share","Other_vote","Other_share"
"1",2020,"Alabama",591546,0.254616529547425,2323282,849624,0.365699902121223,1441170,0.620316431668648,25176,0.0108363943765759,0,0,7312,0.00314727183355271
"2",2020,"Alaska",36173,0.100611909993603,359530,153778,0.427719522710205,189951,0.528331432703808,8897,0.0247461964231079,0,0,6904,0.0192028481628793
"3",2020,"Arizona",-10457,-0.00308709583901873,3387326,1672143,0.493646906143666,1661686,0.490559810304647,51465,0.0151934003399732,1557,0.000459654606613004,475,0.000140228605100306
"4",2020,"Arkansas",336715,0.276206679031294,1219069,423932,0.34775061953015,760647,0.623957298561443,13133,0.0107729751146162,2980,0.00244448837596559,18377,0.0150746184178254
"5",2020,"California",-5103821,-0.291632232685886,17500881,11110250,0.634839468938735,6006429,0.343207236252849,187895,0.010736316646002,81029,0.00462999548422734,115278,0.00658698267818632
"6",2020,"Colorado",-439745,-0.135016180633593,3256980,1804352,0.553995419069199,1364607,0.418979238435606,52460,0.0161069456981621,8986,0.00275899759900276,26575,0.00815939919803008
"7",2020,"Connecticut",-365389,-0.200292170061613,1824280,1080680,0.59238713355406,715291,0.392094963492446,20227,0.0110876619817133,7538,0.00413204113403644,544,0.000298199837744206
"8",2020,"Delaware",-95665,-0.189681290225361,504346,296268,0.587430057936417,200603,0.397748767711055,5000,0.00991382899834637,2139,0.00424113604549258,336,0.000666209308688876
"9",2020,"District of Columbia",-298737,-0.867523725446921,344356,317323,0.921496939214069,18586,0.0539732137671479,2036,0.00591248591573836,1726,0.00501225475960924,4685,0.0136051063434353
"10",2020,"Florida",371686,0.033583688970618,11067456,5297045,0.478614507254422,5668731,0.51219819622504,70324,0.00635412510336612,14721,0.00133011597245112,16635,0.00150305544472009
"11",2020,"Georgia",-11779,-0.00235581884655073,4999960,2473633,0.494730557844463,2461854,0.492374738997912,62229,0.0124458995671965,1013,0.000202601620812966,1231,0.000246201969615757
"12",2020,"Hawaii",-169266,-0.294647752968393,574469,366130,0.63733639239019,196864,0.342688639421797,5539,0.00964194760726863,3822,0.00665310051543251,2114,0.00367992006531249
